rating,max_rating,r1,r2,r3,r4,r5,no_of_problems,contest_avg,practice_avg
1999,2197,2006,2019,1973,1902,1845,1669,1326.3339070567986,1568.4742647058824
1697,1697,1457,1506,1453,1415,1250,778,965.8227848101266,1402.741935483871
1371,1382,1350,1382,1330,1265,1279,243,981.578947368421,1193.1707317073171
1416,1601,1403,1389,1444,1340,1267,867,921.5859030837005,1168.125
2051,2062,2018,1993,1972,1972,2062,545,1297.142857142857,1507.027027027027
1201,1618,1129,1156,1067,1008,1054,1249,984.7926267281106,1208.3333333333333
1544,1544,1501,1512,1532,1521,1516,429,1005.0,1493.6962750716332
1142,1190,1184,1170,1190,1149,1090,262,857.1428571428571,1136.6666666666667
1605,1830,1677,1623,1720,1685,1684,93,1140.2439024390244,1272.7272727272727
1482,1552,1547,1493,1531,1552,1541,389,986.1386138613861,1492.7083333333333
2915,2955,2946,2895,2820,2754,2821,491,1690.8415841584158,1835.632183908046
1076,1076,1022,950,916,931,934,194,835.7142857142857,1038.8157894736842
1535,1684,1497,1684,1552,1566,1553,216,1047.945205479452,1147.142857142857
1015,1394,865,876,932,876,930,395,863.0952380952381,962.700964630225
2018,2074,2074,2044,1972,2027,1969,382,1291.8918918918919,1559.7402597402597
1283,1430,1240,1315,1293,1264,1138,188,914.2857142857143,1147.7777777777778
1346,1424,1279,1223,1205,1249,1170,100,923.6842105263158,1120.8333333333333
1244,1346,1346,1281,1270,1268,1277,151,904.1666666666666,1197.0873786407767
2368,2547,2547,2415,2445,2325,2324,1280,1362.3268698060942,1594.0152339499457
1672,1944,1837,1944,1944,1755,1646,76,1208.3333333333333,1356.25
1217,1374,1252,1246,1293,1360,1315,1287,931.3131313131313,1360.5050505050506
1241,1241,1147,1057,1062,1031,980,411,886.2068965517242,1040.0523560209424
1116,1207,1171,1134,1106,1109,1121,106,895.7746478873239,1065.7142857142858
1281,1964,1403,1458,1487,1509,1518,716,1215.182186234818,1472.5225225225224
1186,1363,1161,1211,1138,1168,1020,739,866.304347826087,1117.001545595054
1634,1634,1547,1614,1581,1526,1555,148,1035.2941176470588,1606.25
2170,2293,2230,2290,2249,2293,2255,664,1398.1818181818182,1765.8097686375322
1756,1796,1796,1765,1647,1587,1462,560,1027.3333333333333,1257.3170731707316
