handle,rating,maxrating
tourist,3817,3979
jiangly,3591,3754
Benq,3584,3797
Um_nik,3504,3629
ksun48,3452,3654
maroonrk,3436,3637
zh0ukangyang,3423,3423
heno239,3385,3385
kiwikiwi,3307,3330
mnbvmar,3297,3509
fivedemands,3275,3305
Maksim1744,3224,3376
noimi,3209,3235
scott_wu,3195,3350
ecnerwala,3187,3668
ABitstOCHASTIC,3183,3219
Ormlis,3178,3243
WYZFL,3174,3198
gisp_zjz,3141,3213
inaFSTream,3134,3270
Isonan,3131,3344
dorijanlendvaj,3120,3120
hitonanode,3107,3107
ugly2333,3078,3180
Mr_Eight,3055,3055
conqueror_of_tourist,3044,3044
_menhera,3042,3042
Vercingetorix,3033,3213
gyh20,3026,3140
Endagorion,3022,3313
SSRS_,3006,3147
feecIe6418,2987,2987
hos.lyric,2985,3315
353cerega,2967,3000
neal,2948,3147
never_giveup,2935,3058
BurnedChicken,2915,2952
blackbori,2915,2955
antontrygubO_o,2908,3095
Golovanov399,2897,3303
1092515503,2894,2894
Egor,2885,3235
jiangly_fan,2881,2945
mango_lassi,2873,3089
Rubikun,2872,2914
tokusakurai,2872,2872
Noam527,2870,2898
wangziji,2861,2861
Pyqe,2855,2994
flowerletter,2850,2850
ainta,2840,3318
skip2004,2840,2867
oleh1421,2835,2996
stevenkplus,2830,2874
ttklwxx,2828,2828
hank55663,2826,3064
Wailydest,2824,2824
p_b_p_b,2818,2818
isaf27,2814,3081
tabr,2814,2814
Gary,2811,2811
maspy,2808,2931
turmax,2808,3070
nantf,2804,2827
emptyhope,2799,2907
Nyaan,2775,2949
tzc_wk,2775,2890
PavelKunyavskiy,2770,3097
Tlatoani,2770,2892
tute7627,2770,2907
chenxiaoyan,2758,2838
alireza_kaviani,2752,2790
He_Ren,2750,3020
potato167,2749,2993
JOHNKRAM,2744,2798
natsugiri,2741,2960
dreamoon_love_AA,2739,3002
pashka,2736,2983
AutumnKite,2734,2871
dl720125,2725,2725
fedoseev.timofey,2720,2907
dfgzm,2719,2719
jacynkaa,2715,2730
blackyuki,2709,2751
xcyle,2705,2705
A_G,2703,2847
Nebuchadnezzar,2703,3014
Sana,2700,2746
dlalswp25,2700,2972
orz,2699,2818
AliShahali1382,2690,2916
SSerxhs,2686,2686
Kapt,2685,2685
KrK,2681,2810
gabrielwu,2681,2818
Maripium,2679,2938
abc864197532,2677,2677
se1ka2,2675,2675
eatmore,2674,3030
EduRoundOnly,2673,2673
liuhengxi,2673,2673
InternetPerson10,2672,2672
TeaPot,2668,2849
arvindf232,2667,2814
Chtholly-Nota-Seniorious,2666,2666
Potassium,2666,2716
fastmath,2664,2723
jeroenodb,2663,2844
sansen,2660,2803
nuip,2659,2880
gnomina007,2656,2656
_su1sen,2654,2722
antekb,2647,2807
PCTprobability,2646,2646
asdsasd,2645,2788
freak93,2640,2741
rg_gr,2639,2639
S2speed,2636,2666
emthrm,2634,2646
Xellos,2632,2835
kotatsugame,2631,2998
ngyupeng06,2626,2626
zihouzhong,2625,2706
Xylenox,2624,2624
satashun,2623,2756
AlternatingCurrent,2622,2622
Akulyat,2615,2702
Nutella3000,2612,2612
q-w-q-w-q,2612,2612
Karuna,2611,2611
Temotoloraia,2607,2867
alvingogo,2606,2631
brunovsky,2601,2633
PurpleCrayon,2592,2693
